2014/11/11,00:00,34
2014/11/11,00:10,34
2014/11/11,00:20,34
2014/11/11,00:30,38
2014/11/11,00:40,38
2014/11/11,00:50,34
2014/11/11,01:00,38
2014/11/11,01:10,34
2014/11/11,01:20,34
2014/11/11,01:30,34
2014/11/11,01:40,38
2014/11/11,01:50,34
2014/11/11,02:00,34
2014/11/11,02:10,34
2014/11/11,02:20,34
2014/11/11,02:30,34
2014/11/11,02:40,38
2014/11/11,02:50,34
2014/11/11,03:00,34
2014/11/11,03:10,34
2014/11/11,03:20,29
2014/11/11,03:30,34
2014/11/11,03:40,34
2014/11/11,03:50,34
2014/11/11,04:00,34
2014/11/11,04:10,34
2014/11/11,04:20,34
2014/11/11,04:30,34
2014/11/11,04:40,29
2014/11/11,04:50,29
2014/11/11,05:00,34
2014/11/11,05:10,29
2014/11/11,05:20,29
2014/11/11,05:30,29
2014/11/11,05:40,29
2014/11/11,05:50,29
2014/11/11,06:00,34
2014/11/11,06:10,29
2014/11/11,06:20,34
2014/11/11,06:30,29
2014/11/11,06:40,29
2014/11/11,06:50,29
2014/11/11,07:00,34
2014/11/11,07:10,34
2014/11/11,07:20,29
2014/11/11,07:30,29
2014/11/11,07:40,29
2014/11/11,07:50,29
2014/11/11,08:00,29
2014/11/11,08:10,29
2014/11/11,08:20,29
2014/11/11,08:30,34
2014/11/11,08:40,34
2014/11/11,08:50,29
2014/11/11,09:00,29
2014/11/11,09:10,29
2014/11/11,09:20,29
2014/11/11,09:30,29
2014/11/11,09:40,29
2014/11/11,09:50,29
2014/11/11,10:00,29
2014/11/11,10:10,29
2014/11/11,10:20,29
2014/11/11,10:30,29
2014/11/11,10:40,29
2014/11/11,10:50,29
2014/11/11,11:00,29
2014/11/11,11:10,29
2014/11/11,11:20,25
2014/11/11,11:30,29
2014/11/11,11:40,29
2014/11/11,11:50,29
2014/11/11,12:00,29
2014/11/11,12:10,29
2014/11/11,12:20,25
2014/11/11,12:30,29
2014/11/11,12:40,25
2014/11/11,12:50,29
2014/11/11,13:00,29
2014/11/11,13:10,29
2014/11/11,13:20,29
2014/11/11,13:30,25
2014/11/11,13:40,29
2014/11/11,13:50,25
2014/11/11,14:00,29
2014/11/11,14:10,25
2014/11/11,14:20,29
2014/11/11,14:30,29
2014/11/11,14:40,25
2014/11/11,14:50,29
2014/11/11,15:00,29
2014/11/11,15:10,29
2014/11/11,15:20,29
2014/11/11,15:30,29
2014/11/11,15:40,29
2014/11/11,15:50,29
2014/11/11,16:00,25
2014/11/11,16:10,29
2014/11/11,16:20,25
2014/11/11,16:30,25
2014/11/11,16:40,29
2014/11/11,16:50,29
2014/11/11,17:00,25
2014/11/11,17:10,25
2014/11/11,17:20,25
2014/11/11,17:30,25
2014/11/11,17:40,29
2014/11/11,17:50,25
2014/11/11,18:00,29
2014/11/11,18:10,29
2014/11/11,18:20,29
2014/11/11,18:30,25
2014/11/11,18:40,25
2014/11/11,18:50,29
2014/11/11,19:00,29
2014/11/11,19:10,25
2014/11/11,19:20,29
2014/11/11,19:30,29
2014/11/11,19:40,25
2014/11/11,19:50,29
2014/11/11,20:00,29
2014/11/11,20:10,25
2014/11/11,20:20,25
2014/11/11,20:30,25
2014/11/11,20:40,29
2014/11/11,20:50,29
2014/11/11,21:00,25
2014/11/11,21:10,25
2014/11/11,21:20,25
2014/11/11,21:30,29
2014/11/11,21:40,29
2014/11/11,21:50,29
2014/11/11,22:00,25
2014/11/11,22:10,25
2014/11/11,22:20,29
2014/11/11,22:30,25
2014/11/11,22:40,29
2014/11/11,22:50,29
2014/11/11,23:00,25
2014/11/11,23:10,25
2014/11/11,23:20,25
2014/11/11,23:30,29
2014/11/11,23:40,25
2014/11/11,23:50,25
